lat,lon,mmsi,vessel_name,flag,vessel_type,timestamp
5.22308,-4.70996,624123456,FV ATLANTIC STAR,GH,Fishing,2024-03-15T10:04:00
4.59183,-4.29766,624123456,FV ATLANTIC STAR,GH,Fishing,2024-03-15T10:16:00
5.28272,-1.58815,624123456,FV ATLANTIC STAR,GH,Fishing,2024-03-15T10:31:00
5.14479,-4.68558,619234567,MV ABIDJAN TRADER,CI,Cargo,2024-03-15T10:01:00
4.54982,-2.98072,619234567,MV ABIDJAN TRADER,CI,Cargo,2024-03-15T10:15:00
5.09799,-2.22233,619234567,MV ABIDJAN TRADER,CI,Cargo,2024-03-15T10:38:00
4.87123,-3.18285,657345678,MT GULF SPIRIT,NG,Tanker,2024-03-15T10:04:00
5.49509,-4.7766,657345678,MT GULF SPIRIT,NG,Tanker,2024-03-15T10:17:00
5.31702,-3.5751,657345678,MT GULF SPIRIT,NG,Tanker,2024-03-15T10:32:00
4.5445,-2.05142,624456789,FV OCEAN HUNTER,GH,Fishing,2024-03-15T10:01:00
4.34839,-4.45182,624456789,FV OCEAN HUNTER,GH,Fishing,2024-03-15T10:20:00
5.16596,-1.89434,624456789,FV OCEAN HUNTER,GH,Fishing,2024-03-15T10:37:00
5.05796,-1.29678,657567890,MV SEABRIDGE,NG,Cargo,2024-03-15T10:06:00
4.32608,-3.74456,657567890,MV SEABRIDGE,NG,Cargo,2024-03-15T10:25:00
5.18963,-1.69786,657567890,MV SEABRIDGE,NG,Cargo,2024-03-15T10:39:00
4.50766,-4.5496,620678901,FV BONNE ESPOIR,CI,Fishing,2024-03-15T10:10:00
4.56464,-3.7582,620678901,FV BONNE ESPOIR,CI,Fishing,2024-03-15T10:16:00
5.56851,-1.68066,620678901,FV BONNE ESPOIR,CI,Fishing,2024-03-15T10:36:00
4.64476,-2.51154,620789012,MT LOMÉ PRIDE,TG,Tanker,2024-03-15T10:05:00
4.46025,-3.52103,620789012,MT LOMÉ PRIDE,TG,Tanker,2024-03-15T10:25:00
4.62716,-1.42804,620789012,MT LOMÉ PRIDE,TG,Tanker,2024-03-15T10:40:00
4.31424,-2.51408,624890123,FV CAPE RUNNER,GH,Fishing,2024-03-15T10:08:00
5.3666,-4.21175,624890123,FV CAPE RUNNER,GH,Fishing,2024-03-15T10:21:00
4.63192,-1.46859,624890123,FV CAPE RUNNER,GH,Fishing,2024-03-15T10:38:00
4.55138,-3.63258,619901234,MV WEST CARRIER,CI,Cargo,2024-03-15T10:00:00
4.56648,-4.68444,619901234,MV WEST CARRIER,CI,Cargo,2024-03-15T10:20:00
4.84186,-4.56172,619901234,MV WEST CARRIER,CI,Cargo,2024-03-15T10:39:00
5.60219,-3.66716,624012345,FV DEEP BLUE,GH,Fishing,2024-03-15T10:10:00
4.99877,-1.61514,624012345,FV DEEP BLUE,GH,Fishing,2024-03-15T10:25:00
4.93416,-3.84643,624012345,FV DEEP BLUE,GH,Fishing,2024-03-15T10:33:00
